Date,Open,High,Low,Close,Turnover ,Close-High,Close-Avg(High_Low),Turnover_Ratio
01-Aug-17,10101.05,10128.6,10065.75,10114.65,11515.29,-13.95,17.475,0
02-Aug-17,10136.3,10137.85,10054.2,10081.5,9165.92,-56.35,-14.525,-0.204021783
03-Aug-17,10081.15,10081.15,9998.25,10013.65,10714.1,-67.5,-26.05,0.168906122
04-Aug-17,10008.6,10075.25,9988.35,10066.4,10397.88,-8.85,34.6,-0.029514378
07-Aug-17,10074.8,10088.1,10046.35,10057.4,7827.95,-30.7,-9.825,-0.247159036
08-Aug-17,10068.35,10083.8,9947,9978.55,10780.41,-105.25,-36.85,0.377168991
09-Aug-17,9961.15,9969.8,9893.05,9908.05,8831.72,-61.75,-23.375,-0.180762142
10-Aug-17,9872.85,9892.65,9776.2,9820.25,12040.13,-72.4,-14.175,0.363282577
11-Aug-17,9712.15,9771.65,9685.55,9710.8,13435.56,-60.85,-17.8,0.11589825
14-Aug-17,9755.75,9818.3,9752.1,9794.15,9486.82,-24.15,8.95,-0.293902152
16-Aug-17,9825.85,9903.95,9773.85,9897.3,10815.38,-6.65,58.4,0.140042712
17-Aug-17,9945.55,9947.8,9883.75,9904.15,9927.47,-43.65,-11.625,-0.082096977
18-Aug-17,9865.95,9865.95,9783.65,9837.4,15636.16,-28.55,12.6,0.575039763
21-Aug-17,9864.25,9884.35,9740.1,9754.35,11764,-130,-57.875,-0.247641365
22-Aug-17,9815.75,9828.45,9752.6,9765.55,9850.89,-62.9,-24.975,-0.162624107
23-Aug-17,9803.05,9857.9,9786.75,9852.5,9961.13,-5.4,30.175,0.011190867
24-Aug-17,9881.2,9881.5,9848.85,9857.05,10392.63,-24.45,-8.125,0.043318379
28-Aug-17,9907.15,9925.75,9882,9912.8,9900.06,-12.95,8.925,-0.047396087
29-Aug-17,9886.4,9887.35,9783.75,9796.05,8469.09,-91.3,-39.5,-0.144541548
30-Aug-17,9859.5,9909.45,9850.8,9884.4,8008.72,-25.05,4.275,-0.054358851
31-Aug-17,9905.7,9925.1,9856.95,9917.9,14619.43,-7.2,26.875,0.825439021
01-Sep-17,9937.65,9983.45,9909.85,9974.4,9314.82,-9.05,27.75,-0.362846568
04-Sep-17,9984.15,9988.4,9861,9912.85,8069.64,-75.55,-11.85,-0.133677301
05-Sep-17,9933.25,9963.1,9901.05,9952.2,7566.62,-10.9,20.125,-0.062334875
06-Sep-17,9899.25,9931.55,9882.55,9916.2,8926.98,-15.35,9.15,0.179784369
07-Sep-17,9945.85,9964.85,9917.2,9929.9,9455.48,-34.95,-11.125,0.059202552
08-Sep-17,9958.65,9963.6,9913.3,9934.8,8792.49,-28.8,-3.65,-0.070117012
11-Sep-17,9971.75,10028.65,9968.8,10006.05,9545.94,-22.6,7.325,0.085692449
12-Sep-17,10056.85,10097.55,10028.05,10093.05,9894.2,-4.5,30.25,0.036482526
13-Sep-17,10099.25,10131.95,10063.15,10079.3,10682.41,-52.65,-18.25,0.079663843
14-Sep-17,10107.4,10126.5,10070.35,10086.6,11047.46,-39.9,-11.825,0.034173
15-Sep-17,10062.35,10115.15,10043.65,10085.4,13650.9,-29.75,6,0.2356596
18-Sep-17,10133.1,10171.7,10131.3,10153.1,8106.66,-18.6,1.6,-0.40614465
19-Sep-17,10175.6,10178.95,10129.95,10147.55,8796.21,-31.4,-6.9,0.085059692
20-Sep-17,10160.95,10171.05,10134.2,10141.15,10105.71,-29.9,-11.475,0.148870934
21-Sep-17,10139.6,10158.9,10058.6,10121.9,11114.28,-37,13.15,0.099801993
22-Sep-17,10094.35,10095.05,9952.8,9964.4,11941.88,-130.65,-59.525,0.074462763
25-Sep-17,9960.1,9960.5,9816.05,9872.6,11258.68,-87.9,-15.675,-0.057210422
26-Sep-17,9875.25,9891.35,9813,9871.5,9754.02,-19.85,19.325,-0.133644441
27-Sep-17,9920.6,9921.05,9714.4,9735.75,10127.39,-185.3,-81.975,0.038278576
